"dataid";"vehicle_type";"model_year";"quick_charge_port";"delivery_date";"ownership_status";"lease_end_date"
3192;"Chevrolet Volt";;f;"2012-03-16";"Owned by Participant";""
7940;"Nissan Leaf";2011;f;"2012-03-30";"Owned by Participant";""
114;"Chevrolet Volt";2012;f;"2012-05-16";"Owned by Participant";""
9729;"Nissan Leaf";;f;"2012-03-28";"Owned by Participant";""
2335;"Chevrolet Volt";;f;"2012-04-15";"Owned by Participant";""
2638;"Mitsubishi i-MiEV";2012;f;"2012-04-20";"Owned by Participant";""
3482;"Chevrolet Volt";2013;f;"2012-09-27";"Owned by Participant";""
545;"Chevrolet Volt";;f;"2012-05-24";"Owned by Participant";""
2814;"Chevrolet Volt";2012;f;"2012-03-24";"Owned by Participant";""
2814;"Nissan Leaf";;t;"";"Leased by Participant";""
1185;"Chevrolet Volt";;f;"2012-02-06";"Owned by Participant";""
6836;"Chevrolet Volt";2012;f;"2012-02-16";"Owned by Participant";""
370;"Chevrolet Volt";;f;"2012-06-06";"Owned by Participant";""
7057;"Nissan Leaf";2011;f;"2011-10-25";"Owned by Participant";""
5403;"Chevrolet Volt";2012;f;"2012-03-19";"Owned by Participant";""
1642;"Chevrolet Volt";2012;f;"2012-07-21";"Owned by Participant";""
7024;"Chevrolet Volt";;f;"2012-03-24";"Owned by Participant";""
4767;"Nissan Leaf";2011;f;"2012-03-29";"";""
4998;"Chevrolet Volt";2012;f;"2012-03-26";"Owned by Participant";""
3967;"Chevrolet Volt";;f;"2012-03-29";"Owned by Participant";""
6990;"Nissan Leaf";;f;"2012-03-17";"Leased by Participant";""
661;"Chevrolet Volt";;f;"2012-05-23";"Owned by Participant";""
4336;"Tesla Model S";;f;"";"Owned by Participant";""
2018;"Chevrolet Volt";;f;"2012-09-15";"Owned by Participant";""
7982;"Nissan Leaf";2011;f;"2011-09-02";"Leased by Participant";""
1801;"Chevrolet Volt";;f;"2012-03-15";"Owned by Participant";""
2470;"Chevrolet Volt";;f;"2012-05-21";"Owned by Participant";""
2742;"Chevrolet Volt";2013;f;"";"Owned by Participant";""
8669;"Chevrolet Volt";2012;f;"2012-05-18";"Owned by Participant";""
4135;"Chevrolet Volt";;f;"";"Owned by Participant";""
1782;"Chevrolet Volt";;f;"2012-01-31";"Owned by Participant";""
9278;"Chevrolet Volt";;f;"2012-08-19";"Owned by Participant";""
1169;"Chevrolet Volt";;f;"";"Owned by Participant";""
9248;"Nissan Leaf";2011;f;"2011-09-17";"";""
8156;"Chevrolet Volt";;f;"2012-09-18";"Owned by Participant";""
2965;"Chevrolet Volt";;f;"2012-04-12";"Owned by Participant";""
6871;"Chevrolet Volt";;f;"2012-03-26";"Owned by Participant";""
3367;"Chevrolet Volt";;f;"2012-09-21";"Owned by Participant";""
364;"Chevrolet Volt";;f;"2012-08-18";"Owned by Participant";""
4352;"Chevrolet Volt";2012;f;"2012-03-11";"Owned by Participant";""
4505;"Chevrolet Volt";2013;f;"2012-08-31";"Owned by Participant";""
1697;"Chevrolet Volt";;f;"2012-02-19";"Owned by Participant";""
1415;"";;f;"";"";""
4526;"Chevrolet Volt";;f;"2012-05-03";"Owned by Participant";""
4373;"Chevrolet Volt";2011;f;"2012-04-27";"Owned by Participant";""
7016;"Tesla Model S";2013;f;"";"";""
7850;"Chevrolet Volt";;f;"2012-08-02";"Owned by Participant";""
3723;"Chevrolet Volt";2012;f;"2012-03-04";"Owned by Participant";""
7863;"Nissan Leaf";;f;"2012-06-07";"Owned by Participant";""
3146;"Chevrolet Volt";;f;"";"Owned by Participant";""
26;"Ford Fusion";2013;f;"";"";""
6101;"Chevrolet Volt";2013;f;"2012-10-01";"Owned by Participant";""
6941;"Chevrolet Volt";2013;f;"2012-06-28";"Owned by Participant";""
1953;"Chevrolet Volt";2012;f;"2012-05-25";"";""
8142;"Tesla Model S";2008;f;"";"";""
4641;"Chevrolet Volt";;f;"2012-04-21";"Owned by Participant";""
7510;"Chevrolet Volt";2012;f;"2012-05-07";"Owned by Participant";""
9830;"Chevrolet Volt";;f;"2012-05-15";"Owned by Participant";""
6121;"Nissan Leaf";2011;f;"2012-05-06";"Owned by Participant";""
4957;"Chevrolet Volt";;f;"2012-11-02";"Owned by Participant";""
8197;"Chevrolet Volt";;f;"2012-01-19";"Owned by Participant";""
3036;"Nissan Leaf";2011;f;"2012-06-12";"Owned by Participant";""
5357;"Nissan Leaf";;f;"2012-05-04";"Leased by Participant";""
6072;"Chevrolet Volt";2013;f;"2012-08-18";"Owned by Participant";""
9484;"Chevrolet Volt";;f;"";"";""
2769;"Chevrolet Volt";2012;f;"2012-08-09";"Leased by Participant";""
9609;"Chevrolet Volt";2012;f;"";"Owned by Participant";""
9932;"Nissan Leaf";2011;f;"";"";""
9499;"Chevrolet Volt";2013;f;"2012-07-28";"Owned by Participant";""
6139;"Chevrolet Volt";2011;f;"2012-03-18";"Leased by Participant";""
6910;"Chevrolet Volt";;f;"";"Leased by Participant";""
9937;"Chevrolet Volt";2013;f;"2012-07-30";"Owned by Participant";""
1714;"Chevrolet Volt";2012;f;"2012-03-20";"Owned by Participant";""
7875;"Chevrolet Volt";;f;"";"Leased by Participant";""
8645;"Chevrolet Volt";;f;"";"Owned by Participant";""
3044;"Chevrolet Volt";;f;"";"";""
6505;"Tesla Model S";2013;f;"";"";""
9776;"Chevrolet Volt";;f;"";"";""
9776;"Chevrolet Volt";;f;"";"";""
9776;"Nissan Leaf";;f;"";"";""
1392;"Chevrolet Volt";;f;"";"Leased by Participant";"2013-12-31"
1629;"";;f;"";"";""
3368;"";;f;"";"";""
1202;"Nissan Leaf";;f;"";"";""
2695;"Chevrolet Volt";2011;f;"";"";""
9934;"Chevrolet Volt";2012;f;"2012-05-12";"Owned by Participant";""
2695;"Chevrolet Volt";;f;"";"";""
3795;"Tesla Model S";;f;"";"";""
9934;"Nissan Leaf";2011;f;"";"Owned by Participant";""
8197;"Nissan Leaf";2011;f;"";"Owned by Participant";""
5109;"Chevrolet Volt";;f;"";"";""
9647;"Tesla Model S";2013;f;"";"";""
8424;"Nissan Leaf";2011;f;"";"";""
9090;"Chevrolet Volt";2012;f;"";"";""
7797;"Nissan Leaf";2013;f;"";"";""
5511;"Chevrolet Volt";2013;f;"";"";""
9555;"Chevrolet Volt";2014;f;"";"";""
3741;"Chevrolet Volt";2013;f;"";"";""
5809;"Chevrolet Volt";2011;f;"";"";""
6248;"Tesla Model S";;f;"";"Owned by Participant";""
3126;"Tesla Model S";;f;"";"";""
8857;"Tesla Model S";;f;"";"Owned by Participant";""
7719;"Chevrolet Volt";;f;"";"Owned by Participant";""
8197;"Brammo Empulse Motorcycle";;f;"";"Owned by Participant";""
4830;"Nissan Leaf";2013;f;"";"Owned by Participant";""
5749;"Tesla Model S";;f;"";"Owned by Participant";""
624;"Nissan Leaf";2013;t;"";"Owned by Participant";""
6691;"Tesla Model S";;f;"";"Owned by Participant";""
8741;"Nissan Leaf";2015;f;"";"Owned by Participant";""
