"notificationID";"pricingeventID";"notification_time";"notification_type";"notification_notes";"group_name"
423;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
424;16;"2014-07-13 18:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
425;16;"2014-07-13 18:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
426;16;"2014-07-13 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
427;16;"2014-07-13 18:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
442;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
443;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
444;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
445;19;"2014-08-07 19:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
446;19;"2014-08-07 19:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4 p.m. and 7 p.m.";"Action"
447;19;"2014-08-07 19:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
448;19;"2014-08-07 19:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
1;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
2;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
3;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
4;20;"2014-08-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
5;20;"2014-08-14 17:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
6;20;"2014-08-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
7;20;"2014-08-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
8;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
9;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
10;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
11;21;"2014-08-18 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
12;21;"2014-08-18 17:00:00-05";"SMS";"Critical Peak Pricing event To participate, please ""pre-cool"" your home prior to the event; then, raise your thermostat by four degrees between 4 and 7 p.m.";"Action"
13;21;"2014-08-18 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
14;21;"2014-08-18 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
441;18;"2014-07-27 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
440;18;"2014-07-27 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
439;18;"2014-07-27 17:00:00-05";"SMS";"Critical Peak Pricing event. Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m. Pecan Street Inc.";"Action"
438;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
437;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
436;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
435;18;"2014-07-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
15;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
16;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
17;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
18;22;"2014-08-20 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
19;22;"2014-08-20 17:00:00-05";"SMS";"Critical Peak Pricing event To participate, please do not use your clothes dryer between 4 and 7 p.m.";"Action"
20;22;"2014-08-20 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
21;22;"2014-08-20 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
22;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
23;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
24;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
25;23;"2014-08-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
26;23;"2014-08-25 17:00:00-05";"SMS";"We are writing to let you know that tomorrow an experimental Critical Peak Pricing event will take place from 4 – 7 p.m. To participate, please do not use your range/oven between these hours.";"Action"
27;23;"2014-08-25 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
28;23;"2014-08-25 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
29;24;"2014-09-02 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
30;24;"2014-09-02 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
31;24;"2014-09-02 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
32;24;"2014-09-02 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
33;24;"2014-09-02 17:00:00-05";"SMS";"To participate, please ""pre-cool"" your home prior to the event; then, raise your thermostat by four degrees between 4 and 7 p.m.";"Action"
34;24;"2014-09-02 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
35;24;"2014-09-02 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
36;25;"2014-09-08 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
37;25;"2014-09-08 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
38;25;"2014-09-08 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
39;25;"2014-09-08 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
40;25;"2014-09-08 17:00:00-05";"SMS";"We're writing to let you know that tomorrow an experimental Critical Peak Pricing event will take place from 4 – 7 p.m. To participate, please do not use your clothes dryer between these hours.";"Action"
41;25;"2014-09-08 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
42;25;"2014-09-08 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
43;26;"2014-09-10 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
44;26;"2014-09-10 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
45;26;"2014-09-10 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
46;26;"2014-09-10 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
47;26;"2014-09-10 17:00:00-05";"SMS";"We're writing to let you know that tomorrow an experimental Critical Peak Pricing event will take place from 4 – 7 p.m. To participate, please do not use your range/oven between these hours.";"Action"
48;26;"2014-09-10 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
49;26;"2014-09-10 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
50;27;"2014-09-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
51;27;"2014-09-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
52;27;"2014-09-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
53;27;"2014-09-14 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
54;27;"2014-09-14 17:00:00-05";"SMS";"Tomorrow an experimental Critical Peak Pricing event will take place from 4 – 7 p.m. To participate, please ""pre-cool"" your home prior to the event; then, raise your thermostat by four degrees between 4 and 7 p.m.";"Action"
55;27;"2014-09-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
56;27;"2014-09-14 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
57;28;"2014-06-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
58;28;"2014-06-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
59;28;"2014-06-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
60;28;"2014-06-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
61;28;"2014-06-23 17:00:00-05";"SMS";"Critical Peak Pricing event. To participate, please do not use your clothes dryer between these hours.";"Action"
62;28;"2014-06-23 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
63;28;"2014-06-23 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
126;4;"2013-07-23 16:56:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
127;4;"2013-07-23 16:56:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
123;4;"2013-07-23 16:56:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
121;4;"2013-07-23 16:56:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
434;17;"2014-07-23 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
433;17;"2014-07-23 17:00:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
432;17;"2014-07-23 17:00:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
431;17;"2014-07-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
430;17;"2014-07-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
429;17;"2014-07-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
428;17;"2014-07-23 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
